call_id,pred_41mini_cur,gold_actual
J18_S007723,환불요청,불만제기
J18_S008036,교환반품,불만제기
J18_S008253,교환반품,교환반품
J18_S008437,서비스이용,구매진행
J18_S008727,배송확인,교환반품
J18_S008876,주문취소,서비스이용
J18_S010108,교환반품,교환반품
J18_S010242,배송확인,배송확인
J18_S010336,교환반품,교환반품
J18_S010450,환불요청,환불요청
J18_S010475,환불요청,환불요청
J18_S010844,불만제기,교환반품
J18_S010874,환불요청,환불요청
J18_S011431,환불요청,환불요청
J18_S011496,교환반품,교환반품
J18_S012148,환불요청,불만제기
J18_S012160,배송확인,배송확인
J18_S012269,환불요청,불만제기
J18_S012459,배송확인,배송확인
J18_S012573,교환반품,환불요청
J18_S012848,환불요청,환불요청
J18_S013296,교환반품,환불요청
J18_S013779,주문취소,환불요청
J18_S013817,주문취소,환불요청
J18_S014181,환불요청,불만제기
J18_S014404,환불요청,불만제기
J18_S014416,환불요청,불만제기
J18_S014582,배송확인,불만제기
J18_S015369,주문취소,환불요청
J18_S015538,배송확인,배송확인
J18_S015811,배송확인,배송확인
J18_S015836,불만제기,불만제기
J18_S016042,교환반품,환불요청
J18_S016102,구매진행,구매진행
J18_S016495,서비스이용,불만제기
J18_S016624,배송확인,교환반품
J18_S016671,배송확인,배송확인
J18_S017350,불만제기,서비스이용
J18_S017846,배송확인,불만제기
J18_S018522,배송확인,배송확인
J18_S018628,배송확인,환불요청
J18_S018941,서비스이용,배송확인
J18_S019003,배송확인,불만제기
J18_S019345,환불요청,서비스이용
J18_S020301,교환반품,교환반품
J18_S020556,배송확인,불만제기
J18_S021176,교환반품,교환반품
J18_S021444,배송확인,불만제기
J18_S021648,배송확인,배송확인
J18_S021659,배송확인,배송확인
J18_S021701,배송확인,배송확인
J18_S021953,배송확인,교환반품
J18_S022461,배송확인,불만제기
J18_S022524,배송확인,서비스이용
J18_S022665,구매진행,구매진행
J18_S023029,환불요청,환불요청
J18_S023166,배송확인,배송확인
J19_S000697,환불요청,환불요청
J19_S000785,구매진행,주문취소
J19_S002308,환불요청,환불요청
J19_S002541,환불요청,환불요청
J19_S002553,주문취소,불만제기
J19_S003263,주문취소,환불요청
J19_S003407,환불요청,환불요청
J19_S003859,주문취소,환불요청
J19_S004079,주문취소,구매진행
J19_S004231,환불요청,환불요청
J19_S004360,환불요청,환불요청
J19_S004623,주문취소,환불요청
J19_S004981,주문취소,주문취소
J19_S005076,구매진행,구매진행
J19_S005700,환불요청,환불요청
J19_S005716,환불요청,환불요청
J19_S006210,환불요청,환불요청
J19_S006250,환불요청,환불요청
J19_S006251,배송확인,환불요청
J19_S006320,환불요청,환불요청
J19_S006335,주문취소,주문취소
J19_S006629,환불요청,환불요청
J19_S006683,불만제기,서비스이용
J19_S009068,환불요청,환불요청
J19_S009654,구매진행,서비스이용
J19_S009822,환불요청,환불요청
J19_S010519,환불요청,환불요청
J19_S010746,배송확인,주문취소
J19_S010860,주문취소,환불요청
J19_S011916,구매진행,환불요청
J19_S011974,서비스이용,서비스이용
J19_S012237,구매진행,주문취소
J19_S012575,환불요청,환불요청
J19_S012762,환불요청,불만제기
J19_S013320,환불요청,환불요청
J19_S013785,환불요청,환불요청
J19_S014172,배송확인,주문취소
J19_S014379,환불요청,불만제기
J19_S014977,환불요청,불만제기
J19_S015195,환불요청,불만제기
J19_S015383,구매진행,구매진행
J19_S015453,주문취소,환불요청
J19_S015528,주문취소,환불요청
J19_S016466,구매진행,구매진행
J19_S016496,환불요청,환불요청
J19_S016591,주문취소,환불요청
J19_S016939,서비스이용,서비스이용
J19_S017158,환불요청,환불요청
J19_S017515,환불요청,환불요청
J19_S017906,주문취소,환불요청
J19_S018399,환불요청,불만제기
J19_S018777,주문취소,환불요청
J19_S019114,환불요청,불만제기
J19_S019224,서비스이용,불만제기
J19_S019742,환불요청,환불요청
J19_S019931,환불요청,환불요청
J19_S019961,배송확인,환불요청
J19_S020003,환불요청,환불요청
J19_S020578,환불요청,환불요청
J19_S020809,환불요청,환불요청
J19_S021184,환불요청,환불요청
J19_S021549,주문취소,환불요청
J19_S021835,환불요청,불만제기
J19_S022308,주문취소,환불요청
J19_S022492,구매진행,환불요청
J19_S022524,배송확인,서비스이용
J19_S023215,환불요청,환불요청
J19_S023405,배송확인,환불요청
J19_S024232,환불요청,환불요청
J19_S024565,환불요청,환불요청
J19_S024841,서비스이용,서비스이용
J19_S025029,구매진행,구매진행
J19_S025302,환불요청,환불요청
J19_S025379,구매진행,환불요청
J19_S025700,환불요청,환불요청
J19_S026641,주문취소,환불요청
J19_S026792,환불요청,서비스이용
J19_S026825,환불요청,불만제기
J19_S027520,주문취소,환불요청
J19_S028061,환불요청,환불요청
J19_S028360,주문취소,환불요청
J19_S028372,구매진행,환불요청
J19_S029307,교환반품,불만제기
J19_S029807,주문취소,주문취소
J19_S029852,주문취소,교환반품
J19_S029877,환불요청,환불요청
J19_S030042,환불요청,불만제기
J19_S030534,주문취소,불만제기
J19_S030893,구매진행,환불요청
J19_S031046,교환반품,환불요청
J19_S031082,주문취소,환불요청
J19_S031331,환불요청,환불요청
J19_S031373,환불요청,환불요청
J19_S031447,구매진행,주문취소
J19_S031476,환불요청,환불요청
J19_S032561,배송확인,불만제기
J19_S032564,환불요청,환불요청
J19_S032613,환불요청,환불요청
J19_S032614,배송확인,불만제기
J19_S032639,환불요청,환불요청
J19_S033535,환불요청,불만제기
J19_S033743,구매진행,환불요청
J19_S034496,환불요청,환불요청
J19_S035058,교환반품,불만제기
J19_S035643,배송확인,배송확인
J19_S035875,환불요청,환불요청
J19_S035954,배송확인,불만제기
J19_S035972,배송확인,불만제기
J19_S035997,환불요청,환불요청
J19_S036037,불만제기,구매진행
J19_S036614,배송확인,배송확인
J19_S036816,교환반품,교환반품
J19_S037450,교환반품,교환반품
J19_S037532,환불요청,환불요청
J19_S037651,환불요청,불만제기
J19_S037696,환불요청,불만제기
J19_S037942,환불요청,환불요청
