call_id,gold_actual
J18_S015662,환불요청
J18_S016491,교환반품
J19_S024504,환불요청
J19_S032495,배송확인
J18_S017032,환불요청
J19_S010888,환불요청
J16_S004247,서비스이용
J18_S011809,불만제기
J19_S028015,불만제기
J18_S007116,교환반품
J19_S028745,환불요청
J18_S003799,환불요청
J16_S004061,서비스이용
J19_S013565,환불요청
J18_S020735,불만제기
J19_S008727,환불요청
J18_S011888,교환반품
J18_S015635,환불요청
J18_S000666,배송확인
J19_S010943,환불요청
J19_S014409,환불요청
J19_S029693,불만제기
J17_S003808,서비스이용
J19_S035561,주문취소
J17_S002327,배송확인
J19_S032812,교환반품
J16_S006553,서비스이용
J18_S017452,불만제기
J18_S018483,교환반품
J17_S002397,서비스이용
J19_S012236,환불요청
J19_S000901,주문취소
J19_S036355,구매진행
J18_S001750,환불요청
J19_S014743,서비스이용
J19_S031450,환불요청
J18_S023355,서비스이용
J18_S005261,환불요청
J18_S006807,교환반품
J17_S004525,서비스이용
J18_S020964,환불요청
J18_S013534,교환반품
J16_S000141,서비스이용
J19_S038099,환불요청
J19_S021437,환불요청
J18_S010154,주문취소
J18_S008573,교환반품
J17_S005518,서비스이용
J16_S002294,서비스이용
J19_S020362,환불요청
J19_S025581,환불요청
J19_S005186,서비스이용
J17_S001384,불만제기
J17_S003029,불만제기
J19_S011982,환불요청
J16_S006367,서비스이용
J18_S019497,환불요청
J18_S011915,환불요청
J18_S006703,배송확인
J19_S009772,구매진행
J19_S027828,환불요청
J18_S007817,불만제기
J19_S029625,환불요청
J19_S011137,환불요청
J18_S014553,불만제기
J19_S033705,배송확인
J16_S006762,서비스이용
J16_S006872,서비스이용
J19_S035479,불만제기
J18_S004561,교환반품
J18_S022112,불만제기
J19_S008682,환불요청
J18_S003278,불만제기
J19_S033309,환불요청
J18_S005561,교환반품
J16_S002087,서비스이용
J19_S031011,환불요청
J18_S012683,환불요청
J17_S002704,서비스이용
J18_S013234,환불요청
J18_S018111,불만제기
J19_S034586,환불요청
J17_S005843,서비스이용
J18_S006567,교환반품
J19_S016542,주문취소
J18_S009467,환불요청
J19_S028167,불만제기
J18_S007239,교환반품
J18_S021305,환불요청
J19_S002627,주문취소
J19_S016319,불만제기
J18_S022343,교환반품
J19_S037195,배송확인
J18_S008915,교환반품
J19_S016667,환불요청
J16_S002475,서비스이용
J18_S009890,환불요청
J17_S005637,서비스이용
J19_S026167,환불요청
J19_S008042,환불요청
J18_S011902,배송확인
J19_S018468,환불요청
J19_S032892,환불요청
J16_S004654,서비스이용
J18_S000455,불만제기
J19_S021918,환불요청
J19_S008672,주문취소
J19_S025937,환불요청
J18_S021705,서비스이용
J19_S015250,환불요청
J19_S015502,환불요청
J17_S001941,서비스이용
J19_S035537,환불요청
J17_S005246,서비스이용
J16_S000686,서비스이용
J19_S002385,환불요청
J19_S034285,환불요청
J19_S028339,구매진행
J16_S005602,서비스이용
J18_S012583,불만제기
J19_S025112,구매진행
J19_S032614,불만제기
J18_S019182,배송확인
J16_S001350,서비스이용
J18_S014694,배송확인
J18_S003221,환불요청
J18_S005502,불만제기
J19_S015195,불만제기
J17_S006509,서비스이용
J16_S000474,서비스이용
J19_S026696,주문취소
J18_S014786,환불요청
J18_S022732,배송확인
J19_S018211,주문취소
J19_S012666,주문취소
J18_S016240,환불요청
J19_S030086,환불요청
J19_S031869,배송확인
J18_S002502,불만제기
J19_S020351,주문취소
J18_S019277,배송확인
J19_S038317,환불요청
J17_S004156,서비스이용
J16_S006602,서비스이용
J19_S017573,불만제기
J19_S012542,환불요청
J18_S000788,교환반품
J19_S028731,불만제기
J18_S006037,불만제기
J19_S023046,서비스이용
J18_S000011,배송확인
J17_S006193,서비스이용
J18_S020483,배송확인
J19_S008792,환불요청
J19_S002034,환불요청
J18_S001558,불만제기
J18_S006109,교환반품
J18_S007062,교환반품
J19_S011929,환불요청
J19_S029004,환불요청
J19_S020573,불만제기
J19_S023751,구매진행
J16_S002642,서비스이용
J18_S009086,환불요청
J19_S010332,구매진행
J17_S005567,서비스이용
J18_S020726,서비스이용
J19_S023000,환불요청
J18_S002099,불만제기
J17_S005525,서비스이용
J18_S002511,배송확인
J16_S004060,서비스이용
J19_S015288,환불요청
J16_S004094,서비스이용
J18_S000435,환불요청
J18_S011992,배송확인
J18_S002082,배송확인
J19_S038006,교환반품
J18_S015706,배송확인
J18_S016300,불만제기
J18_S022001,교환반품
J19_S021835,불만제기
J19_S023309,환불요청
J19_S007893,환불요청
J19_S037694,환불요청
J19_S014520,구매진행
J19_S011785,환불요청
J19_S035508,배송확인
J18_S001938,환불요청
J19_S019649,환불요청
J18_S006679,환불요청
J18_S011877,배송확인
J19_S028055,환불요청
J19_S030645,환불요청
J18_S017516,교환반품
J18_S014613,환불요청
J18_S009866,불만제기
J18_S022838,서비스이용
J18_S016562,교환반품
J17_S004099,서비스이용
J19_S013992,환불요청
J19_S037881,구매진행
J19_S002621,환불요청
J18_S015867,환불요청
J18_S018997,배송확인
J19_S015059,환불요청
J19_S014965,주문취소
J18_S021519,배송확인
J19_S037417,환불요청
J18_S001710,불만제기
J18_S012644,환불요청
J16_S001686,서비스이용
J18_S007037,배송확인
J19_S002101,불만제기
J19_S007315,환불요청
J18_S010128,교환반품
J18_S010889,교환반품
J17_S002980,서비스이용
J16_S002509,서비스이용
J19_S027006,환불요청
J18_S021218,환불요청
J19_S036652,환불요청
J19_S006077,불만제기
J19_S004549,환불요청
J19_S027171,환불요청
J19_S021619,교환반품
J19_S011617,환불요청
J17_S002852,서비스이용
J18_S020197,환불요청
J18_S001508,배송확인
J18_S018726,교환반품
J18_S003272,불만제기
J18_S022051,교환반품
J18_S005950,배송확인
J19_S032733,배송확인
J19_S010070,환불요청
J18_S007900,교환반품
J19_S004092,구매진행
J19_S031018,서비스이용
J18_S009340,배송확인
J19_S029663,환불요청
J19_S029032,환불요청
J19_S033812,교환반품
J18_S022282,배송확인
J19_S017983,환불요청
J19_S012206,환불요청
J17_S004955,서비스이용
J19_S000836,환불요청
J18_S012064,배송확인
J18_S004169,교환반품
J18_S009572,교환반품
J19_S010114,환불요청
J19_S033029,환불요청
J19_S013745,환불요청
J19_S020062,환불요청
J17_S005118,서비스이용
J18_S020487,교환반품
J18_S012150,환불요청
J19_S005145,환불요청
J18_S007775,환불요청
J19_S032561,불만제기
J19_S005153,환불요청
J19_S018111,환불요청
J19_S023811,환불요청
J17_S002998,서비스이용
J19_S033581,주문취소
J19_S036303,환불요청
J19_S007975,환불요청
J16_S003827,서비스이용
J19_S024744,환불요청
J19_S028061,환불요청
J18_S020087,교환반품
J18_S020119,환불요청
J18_S002033,불만제기
J19_S011400,서비스이용
J19_S005544,환불요청
J19_S028529,불만제기
J19_S031796,불만제기
J19_S031135,교환반품
J18_S011046,환불요청
J19_S017633,환불요청
J17_S000766,서비스이용
J18_S016036,환불요청
J16_S003086,서비스이용
J18_S014356,교환반품
J17_S001537,서비스이용
J19_S024713,서비스이용
J19_S017985,환불요청
J19_S003410,서비스이용
J19_S027709,환불요청
J18_S015119,배송확인
J19_S020557,서비스이용
J19_S016127,환불요청
J19_S004534,주문취소
J19_S001708,주문취소
J16_S003941,서비스이용
J18_S000394,환불요청
J19_S008644,환불요청
J18_S004660,배송확인
J19_S032816,환불요청
J19_S018658,불만제기
J19_S009267,서비스이용
J18_S013083,환불요청
J18_S019938,배송확인
J19_S033926,환불요청
J19_S016584,환불요청
J16_S000397,서비스이용
J19_S029706,환불요청
J16_S005217,서비스이용
J18_S000421,불만제기
J19_S032351,서비스이용
J18_S013267,불만제기
J17_S002094,서비스이용
J18_S008761,구매진행
J18_S021498,배송확인
J19_S034779,환불요청
J18_S008727,교환반품
J18_S000875,배송확인
J19_S001072,환불요청
J19_S023859,환불요청
J19_S011059,환불요청
J19_S029277,환불요청
J18_S012449,환불요청
J19_S011744,환불요청
J19_S003790,환불요청
J18_S019451,불만제기
J19_S002253,환불요청
J18_S011400,불만제기
J19_S017208,환불요청
J19_S032571,환불요청
J19_S012545,환불요청
J19_S020350,환불요청
J16_S006760,서비스이용
J19_S032811,교환반품
J19_S024914,환불요청
J18_S017857,환불요청
J19_S015011,환불요청
J19_S016812,환불요청
J18_S002884,배송확인
J18_S012516,교환반품
J18_S010903,배송확인
J19_S033455,환불요청
J19_S022269,환불요청
J16_S000089,서비스이용
J19_S026332,서비스이용
J19_S029297,환불요청
J19_S024886,환불요청
J18_S016455,환불요청
J19_S011132,환불요청
J18_S019567,배송확인
J19_S001724,환불요청
J19_S021769,구매진행
J19_S031389,환불요청
J19_S001797,환불요청
J19_S028213,환불요청
J16_S005816,서비스이용
J19_S011157,환불요청
J18_S008109,배송확인
J18_S022203,환불요청
J18_S011231,교환반품
J18_S017999,환불요청
J19_S037396,환불요청
J17_S005620,서비스이용
J19_S031286,배송확인
J19_S026837,주문취소
J18_S002411,배송확인
J19_S034190,불만제기
J19_S037035,주문취소
J16_S004886,서비스이용
J18_S019956,불만제기
J19_S014121,환불요청
J18_S015058,환불요청
J18_S002497,배송확인
J19_S036373,구매진행
J18_S008444,교환반품
J19_S024080,환불요청
J19_S030393,환불요청
J18_S001563,배송확인
J16_S006884,서비스이용
J18_S012877,교환반품
J19_S016249,환불요청
J18_S007537,교환반품
J19_S000088,환불요청
J19_S026486,환불요청
J19_S026670,환불요청
J19_S010327,환불요청
J19_S011258,환불요청
J19_S037766,환불요청
J19_S007340,서비스이용
J17_S005500,서비스이용
J19_S000303,구매진행
J19_S031629,불만제기
J18_S020323,환불요청
J19_S007511,환불요청
J19_S009081,주문취소
J18_S007534,배송확인
J19_S020686,환불요청
J19_S000640,환불요청
J19_S013638,주문취소
J19_S003216,불만제기
J17_S002063,서비스이용
J16_S001787,서비스이용
J17_S003581,서비스이용
J16_S004501,서비스이용
J19_S031813,환불요청
J19_S028968,환불요청
J18_S017100,교환반품
J19_S032876,구매진행
J18_S022893,교환반품
J19_S012447,환불요청
J19_S035383,불만제기
J18_S009387,환불요청
J19_S012218,서비스이용
J18_S017611,불만제기
J17_S003917,서비스이용
J18_S022200,교환반품
J19_S011090,구매진행
J19_S013884,불만제기
J18_S000238,배송확인
J19_S026854,환불요청
J19_S012503,주문취소
J19_S018826,환불요청
J18_S000461,환불요청
J19_S011426,환불요청
J16_S004052,서비스이용
J19_S028376,주문취소
J19_S007650,환불요청
J17_S003319,서비스이용
J18_S002226,불만제기
J18_S017018,서비스이용
J19_S006661,서비스이용
J17_S005578,서비스이용
J18_S019857,배송확인
J18_S003631,환불요청
J16_S002806,서비스이용
J19_S037778,환불요청
J16_S002311,서비스이용
J19_S024182,구매진행
J19_S017680,주문취소
J18_S017816,배송확인
J19_S001654,구매진행
J18_S010361,배송확인
J19_S029815,환불요청
J19_S023515,환불요청
J19_S025068,환불요청
J17_S002129,서비스이용
J18_S004921,배송확인
J19_S002434,환불요청
J18_S022484,불만제기
J19_S036037,구매진행
J18_S011363,환불요청
J19_S002242,주문취소
J16_S002099,서비스이용
J18_S014704,교환반품
J18_S001443,불만제기
J18_S005821,배송확인
J19_S000636,주문취소
J19_S028589,환불요청
J18_S016029,환불요청
J19_S016440,환불요청
J18_S018260,환불요청
J19_S009875,환불요청
J16_S005800,서비스이용
J17_S004049,서비스이용
J19_S015214,서비스이용
J17_S002161,서비스이용
J16_S004876,서비스이용
J19_S011870,환불요청
J18_S023241,배송확인
J17_S006738,서비스이용
J19_S010543,환불요청
J19_S020261,환불요청
J18_S022590,배송확인
J18_S005200,배송확인
J18_S006720,배송확인
J19_S036247,서비스이용
J19_S036753,서비스이용
J18_S018272,환불요청
J19_S003487,환불요청
J18_S021826,교환반품
J17_S002067,서비스이용
J19_S029343,환불요청
J18_S014245,환불요청
J18_S012760,주문취소
J17_S004653,배송확인
J17_S002339,서비스이용
J19_S005505,환불요청
J19_S031398,환불요청
J19_S038295,서비스이용
J19_S006579,환불요청
J19_S008902,구매진행
J18_S021930,환불요청
J19_S015484,서비스이용
J19_S001205,불만제기
J19_S018072,환불요청
J19_S018646,구매진행
J19_S036648,교환반품
J18_S014404,불만제기
J17_S002251,서비스이용
J18_S014932,배송확인
J18_S004500,불만제기
J19_S000206,환불요청
J19_S031553,주문취소
J19_S009178,구매진행
J18_S004520,교환반품
J19_S031241,환불요청
J19_S031150,환불요청
J18_S008744,서비스이용
J16_S001214,서비스이용
J18_S020109,배송확인
J19_S034515,서비스이용
J18_S007741,서비스이용
J17_S005636,서비스이용
J18_S020128,배송확인
J18_S022429,불만제기
J16_S002639,서비스이용
J19_S005444,주문취소
J18_S011236,환불요청
J19_S021563,환불요청
J18_S014095,불만제기
J19_S023144,환불요청
J19_S037388,환불요청
J19_S021038,환불요청
J18_S021752,서비스이용
J18_S008338,교환반품
J19_S031536,불만제기
J18_S008649,교환반품
J18_S010475,환불요청
J19_S024582,불만제기
J19_S019979,환불요청
J18_S011499,배송확인
J18_S010052,환불요청
J19_S005071,환불요청
J18_S015331,환불요청
J19_S013658,환불요청
J18_S019179,배송확인
J18_S018560,환불요청
J18_S008304,환불요청
J19_S016299,주문취소
J19_S024134,서비스이용
J19_S032889,서비스이용
J19_S025407,환불요청
J18_S017131,교환반품
J18_S011510,교환반품
J18_S004189,배송확인
J18_S018549,배송확인
J18_S014893,배송확인
J18_S000145,서비스이용
J19_S030959,교환반품
J19_S025361,환불요청
J19_S021555,환불요청
J19_S000066,환불요청
J17_S004789,서비스이용
J16_S004524,서비스이용
J18_S017428,배송확인
J18_S011832,불만제기
J17_S001019,서비스이용
J19_S025175,환불요청
J19_S024097,불만제기
J19_S014139,구매진행
J18_S022528,주문취소
J16_S002623,환불요청
J18_S012220,교환반품
J19_S025006,불만제기
J18_S001808,배송확인
J19_S007318,환불요청
J19_S031108,환불요청
J18_S010761,불만제기
J18_S020184,불만제기
J19_S006224,환불요청
J16_S006925,서비스이용
J19_S025032,환불요청
J19_S019583,불만제기
J18_S007070,환불요청
J17_S000470,환불요청
J19_S026913,배송확인
J18_S018353,불만제기
J19_S035060,환불요청
J19_S006310,서비스이용
J19_S003812,환불요청
J19_S036335,배송확인
J17_S000149,환불요청
J18_S005588,배송확인
J17_S000529,서비스이용
J18_S015376,환불요청
J19_S035242,불만제기
J19_S025323,환불요청
J19_S009147,환불요청
J19_S015736,환불요청
J18_S001404,불만제기
J19_S004363,환불요청
J18_S009219,환불요청
J19_S001273,환불요청
J16_S004283,서비스이용
J19_S030705,환불요청
J18_S019147,배송확인
J19_S028006,서비스이용
J18_S016220,환불요청
J19_S017764,환불요청
J19_S009968,불만제기
J19_S018444,서비스이용
J19_S015786,환불요청
J18_S002194,불만제기
J19_S035051,불만제기
J19_S008309,환불요청
J19_S012031,불만제기
J19_S031998,환불요청
J17_S003132,서비스이용
J16_S003132,서비스이용
J16_S006779,서비스이용
J16_S003728,서비스이용
J18_S004517,배송확인
J18_S006890,환불요청
J19_S037680,교환반품
J18_S018323,불만제기
J17_S001811,서비스이용
J18_S014870,교환반품
J18_S018011,환불요청
J17_S006351,서비스이용
J18_S001933,배송확인
J19_S021638,환불요청
J19_S017778,환불요청
J17_S005867,서비스이용
J19_S019990,주문취소
J16_S005796,서비스이용
J19_S001655,주문취소
J18_S019963,서비스이용
J19_S007129,환불요청
J16_S004564,서비스이용
J18_S008823,불만제기
J17_S005831,서비스이용
J16_S004529,서비스이용
J18_S002666,배송확인
J19_S022053,환불요청
J18_S010960,환불요청
J19_S028237,구매진행
J18_S008626,서비스이용
J19_S010359,환불요청
J18_S011349,환불요청
J18_S012320,환불요청
J19_S027948,환불요청
J19_S029805,환불요청
J19_S024061,환불요청
J18_S005053,불만제기
J17_S001024,서비스이용
J19_S009751,환불요청
J19_S012386,환불요청
J16_S002074,서비스이용
J18_S012514,환불요청
J19_S032662,서비스이용
J19_S033113,구매진행
J18_S016386,환불요청
J18_S006059,서비스이용
J19_S021578,환불요청
J18_S001484,환불요청
J18_S009637,환불요청
J16_S001423,서비스이용
J16_S004615,서비스이용
J19_S024634,환불요청
J19_S014402,환불요청
J16_S000626,서비스이용
J19_S004851,불만제기
J18_S022900,불만제기
J19_S024647,주문취소
J19_S023981,환불요청
J19_S002549,환불요청
J18_S006935,배송확인
J19_S027089,환불요청
J19_S017414,환불요청
J18_S021072,교환반품
J18_S007703,불만제기
J18_S005579,배송확인
J18_S005541,불만제기
J19_S030931,주문취소
J16_S005932,서비스이용
J19_S033280,교환반품
J18_S009818,배송확인
J17_S003286,서비스이용
J17_S000560,서비스이용
J19_S033209,교환반품
J19_S002600,환불요청
J18_S002916,교환반품
J19_S020384,환불요청
J18_S006032,환불요청
J18_S003783,불만제기
J18_S012354,교환반품
J18_S022232,서비스이용
J19_S032484,환불요청
J18_S019075,환불요청
J17_S005826,서비스이용
J19_S013373,환불요청
J19_S030483,환불요청
J19_S003591,환불요청
J19_S003962,환불요청
J19_S014980,환불요청
J18_S001651,불만제기
J17_S000522,서비스이용
J19_S024323,환불요청
J19_S034825,서비스이용
J19_S020637,환불요청
J19_S015338,환불요청
J17_S005336,구매진행
J19_S003577,환불요청
J19_S005485,환불요청
J19_S017407,환불요청
J18_S005269,불만제기
J18_S019462,교환반품
J17_S000115,서비스이용
J18_S004872,불만제기
J17_S001630,서비스이용
J19_S015662,환불요청
J19_S031488,환불요청
J18_S015545,환불요청
J19_S027313,환불요청
J19_S008722,서비스이용
J19_S034717,교환반품
J18_S012899,환불요청
J18_S014582,불만제기
J19_S036816,교환반품
J18_S010874,환불요청
J18_S016237,환불요청
J18_S006474,불만제기
J19_S013513,환불요청
J19_S030690,배송확인
J18_S002620,불만제기
J19_S033529,환불요청
J18_S016136,교환반품
J19_S019574,환불요청
J19_S009762,구매진행
J18_S003269,환불요청
J16_S003105,서비스이용
J19_S036778,구매진행
J16_S005032,서비스이용
J19_S013145,환불요청
J19_S003184,환불요청
J19_S020762,불만제기
J18_S004959,환불요청
J19_S024228,환불요청
J18_S003713,배송확인
J18_S000861,교환반품
J16_S003581,서비스이용
J18_S009631,배송확인
J16_S006320,서비스이용
J19_S011956,환불요청
J18_S018010,교환반품
J19_S022954,환불요청
J16_S001794,서비스이용
J19_S016194,환불요청
J18_S015834,불만제기
J18_S010703,배송확인
J17_S002749,서비스이용
J19_S011312,환불요청
J18_S014864,환불요청
J19_S033618,환불요청
J17_S005216,서비스이용
J19_S008483,환불요청
J17_S005394,서비스이용
J18_S005757,환불요청
J19_S033420,환불요청
J19_S020067,환불요청
J16_S003345,서비스이용
J19_S016514,구매진행
J18_S018698,불만제기
J18_S016601,불만제기
J18_S008611,교환반품
J19_S033788,주문취소
J19_S031043,불만제기
J18_S018712,환불요청
J16_S006957,서비스이용
J17_S004875,서비스이용
J19_S013837,구매진행
J16_S002619,서비스이용
J18_S000467,배송확인
J19_S032800,불만제기
J19_S023600,환불요청
J19_S009832,환불요청
J17_S006668,서비스이용
J18_S009231,배송확인
J19_S027452,구매진행
J18_S022328,배송확인
J16_S000523,서비스이용
J19_S016367,환불요청
J19_S018824,환불요청
J18_S005539,환불요청
J19_S032452,주문취소
J19_S005502,환불요청
J18_S018451,환불요청
J19_S021684,환불요청
J19_S018365,구매진행
J18_S008848,배송확인
J18_S018310,배송확인
J19_S010092,서비스이용
J19_S019764,구매진행
J18_S019704,불만제기
J18_S008010,환불요청
J19_S014835,환불요청
J16_S001331,서비스이용
J18_S008578,환불요청
J16_S004067,서비스이용
J18_S022849,교환반품
J18_S004647,배송확인
J19_S017578,환불요청
J17_S003503,서비스이용
J18_S003503,환불요청
J19_S015483,구매진행
J18_S006193,주문취소
J19_S030025,구매진행
J18_S013081,환불요청
J19_S013205,구매진행
J17_S001778,서비스이용
J19_S013914,환불요청
J16_S006820,서비스이용
J19_S006337,환불요청
J18_S013882,교환반품
J16_S002759,서비스이용
J18_S020118,교환반품
J19_S020198,불만제기
J19_S037651,불만제기
J19_S008477,구매진행
J18_S021153,불만제기
J19_S004362,환불요청
J19_S002505,서비스이용
J19_S025542,환불요청
J17_S003647,서비스이용
J18_S021919,배송확인
J18_S015868,환불요청
J18_S002364,환불요청
J18_S021995,환불요청
J18_S000636,환불요청
J19_S015813,환불요청
J18_S011631,교환반품
J18_S019096,불만제기
J19_S019697,환불요청
J19_S018561,구매진행
J19_S003140,환불요청
J18_S007376,환불요청
J18_S006274,배송확인
J18_S002205,교환반품
J17_S002663,서비스이용
J19_S023199,환불요청
J17_S006482,불만제기
J18_S014640,교환반품
J19_S021746,환불요청
J19_S024992,불만제기
J19_S016005,환불요청
J18_S014335,환불요청
J18_S022872,교환반품
J19_S035653,환불요청
J19_S015000,환불요청
J19_S028728,환불요청
J18_S005170,교환반품
J19_S026375,환불요청
J17_S000556,서비스이용
J19_S036123,주문취소
J18_S010047,불만제기
J19_S026579,구매진행
J19_S004889,환불요청
J19_S020939,환불요청
J18_S002121,불만제기
J19_S037496,환불요청
J19_S006693,환불요청
J18_S013059,환불요청
J19_S026967,환불요청
J19_S028360,환불요청
J19_S001287,환불요청
J18_S014484,교환반품
J16_S005821,서비스이용
J18_S013204,교환반품
J18_S002400,환불요청
J19_S033535,불만제기
J19_S027066,서비스이용
J19_S018864,서비스이용
J18_S012781,환불요청
J19_S011430,환불요청
J18_S009173,불만제기
J18_S009346,불만제기
J16_S000533,서비스이용
J19_S001977,환불요청
J19_S021900,불만제기
J19_S026825,불만제기
J19_S004264,환불요청
J18_S003814,불만제기
J19_S024188,환불요청
J17_S003714,서비스이용
J18_S005439,배송확인
J19_S024197,구매진행
J19_S006471,환불요청
J16_S006690,서비스이용
J18_S021174,교환반품
J19_S018101,주문취소
J19_S019351,환불요청
J16_S006478,서비스이용
J19_S015341,환불요청
J19_S020201,환불요청
J18_S015073,배송확인
J19_S026993,환불요청
J19_S019011,환불요청
J19_S014097,주문취소
J19_S013487,환불요청
J17_S005619,서비스이용
J17_S002742,서비스이용
J18_S004272,불만제기
J16_S003003,서비스이용
J16_S005549,서비스이용
J16_S000936,서비스이용
J18_S007540,불만제기
J16_S004872,불만제기
J19_S018463,불만제기
J19_S017450,환불요청
J18_S015680,환불요청
J18_S006220,배송확인
J18_S014590,불만제기
J18_S012194,교환반품
J18_S002454,배송확인
J18_S009578,교환반품
J18_S007564,교환반품
J18_S000258,배송확인
J16_S002557,서비스이용
J19_S025215,환불요청
J18_S003998,배송확인
J19_S004675,구매진행
J18_S008812,서비스이용
J16_S000159,서비스이용
J17_S002884,서비스이용
J17_S005842,서비스이용
J18_S021948,교환반품
J18_S022138,환불요청
J18_S013293,환불요청
J18_S014181,불만제기
J19_S035954,불만제기
J17_S004015,서비스이용
J19_S027931,환불요청
J19_S023273,구매진행
J19_S031958,불만제기
J19_S037080,환불요청
J19_S017901,환불요청
J19_S019945,환불요청
J19_S033785,환불요청
J19_S025748,불만제기
J18_S022905,환불요청
J18_S022513,서비스이용
J19_S010113,환불요청
J18_S006308,불만제기
J18_S006349,교환반품
J19_S023497,불만제기
J19_S021114,환불요청
J17_S003608,서비스이용
J19_S032621,불만제기
J18_S023221,불만제기
J19_S037415,교환반품
J17_S001780,서비스이용
J19_S002418,환불요청
J18_S003580,배송확인
J18_S021824,배송확인
J18_S015085,교환반품
J18_S015201,환불요청
J19_S008710,불만제기
J19_S002565,환불요청
J18_S001981,배송확인
J19_S036706,환불요청
J19_S000544,주문취소
J19_S004252,환불요청
J16_S004096,서비스이용
J18_S005718,서비스이용
J19_S007119,서비스이용
J18_S014160,불만제기
J16_S006226,서비스이용
J18_S016183,불만제기
J19_S032695,환불요청
J19_S028423,환불요청
J16_S001419,서비스이용
J18_S013858,환불요청
J17_S004419,서비스이용
J19_S015946,서비스이용
J19_S035099,환불요청
J18_S016754,배송확인
J19_S027343,불만제기
J18_S001234,불만제기
J19_S029581,불만제기
J19_S031367,불만제기
J18_S013479,불만제기
J19_S006545,환불요청
J19_S035698,불만제기
J19_S034686,교환반품
J19_S027556,배송확인
J18_S008480,불만제기
J19_S034278,불만제기
J19_S001848,환불요청
J19_S004892,환불요청
J18_S004053,불만제기
J18_S007723,불만제기
J19_S024054,주문취소
J19_S030506,배송확인
J19_S036914,환불요청
J19_S035519,교환반품
J18_S008362,환불요청
J19_S012401,불만제기
J18_S003970,불만제기
J18_S014908,환불요청
J18_S000063,배송확인
J19_S010414,환불요청
J16_S002904,서비스이용
J19_S030042,불만제기
J19_S018350,주문취소
