call_id,gpt55_label,gpt41mini_label
J19_S031384,환불요청,환불요청
J19_S011559,주문취소,환불요청
J18_S009273,배송확인,배송확인
J19_S009773,주문취소,주문취소
J18_S022715,구매진행,구매진행
J17_S002490,서비스이용,서비스이용
J18_S013385,환불요청,환불요청
J16_S005876,서비스이용,서비스이용
J19_S031097,환불요청,환불요청
J18_S007688,배송확인,배송확인
J18_S009603,환불요청,환불요청
J16_S000447,서비스이용,서비스이용
J18_S005751,배송확인,배송확인
J18_S012009,환불요청,환불요청
J18_S015170,환불요청,환불요청
J16_S001091,서비스이용,서비스이용
J18_S020863,교환반품,배송확인
J17_S005590,구매진행,서비스이용
J19_S028597,구매진행,구매진행
J19_S036938,환불요청,환불요청
J19_S000217,환불요청,환불요청
J18_S011993,주문취소,환불요청
J19_S004910,구매진행,구매진행
J19_S004283,구매진행,서비스이용
J18_S012294,배송확인,배송확인
J18_S011017,교환반품,교환반품
J19_S010942,구매진행,주문취소
J19_S027046,환불요청,환불요청
J17_S005745,서비스이용,서비스이용
J17_S002352,서비스이용,서비스이용
J19_S019307,환불요청,환불요청
J18_S019769,배송확인,배송확인
J19_S001123,주문취소,주문취소
J18_S012743,교환반품,교환반품
J19_S008283,환불요청,환불요청
J18_S023242,불만제기,배송확인
J19_S031467,주문취소,주문취소
J19_S035958,서비스이용,서비스이용
J17_S002232,서비스이용,서비스이용
J18_S010846,배송확인,배송확인
J18_S020216,교환반품,배송확인
J19_S005130,환불요청,환불요청
J17_S002616,서비스이용,서비스이용
J19_S029647,주문취소,주문취소
J19_S022668,서비스이용,환불요청
J19_S033346,배송확인,배송확인
J19_S018443,주문취소,주문취소
J19_S032089,환불요청,환불요청
J19_S016961,주문취소,주문취소
J18_S001183,환불요청,환불요청
J18_S013263,교환반품,교환반품
J18_S022488,교환반품,교환반품
J18_S005705,환불요청,환불요청
J18_S014916,주문취소,환불요청
J19_S010425,주문취소,환불요청
J19_S017735,환불요청,환불요청
J19_S037352,환불요청,주문취소
J19_S006435,주문취소,주문취소
J19_S015682,구매진행,환불요청
J19_S018545,주문취소,환불요청
J18_S005854,배송확인,배송확인
J19_S006118,환불요청,환불요청
J19_S001928,환불요청,환불요청
J18_S001024,배송확인,배송확인
J16_S002060,서비스이용,서비스이용
J19_S006208,환불요청,환불요청
J19_S013545,주문취소,주문취소
J19_S001298,환불요청,환불요청
J18_S023228,환불요청,환불요청
J19_S035169,환불요청,환불요청
J18_S000803,배송확인,배송확인
J19_S010433,주문취소,환불요청
J19_S029979,주문취소,환불요청
J19_S009142,주문취소,주문취소
J19_S006380,주문취소,주문취소
J18_S001497,주문취소,주문취소
J19_S028902,주문취소,환불요청
J16_S000653,서비스이용,서비스이용
J19_S032021,교환반품,교환반품
J19_S035206,배송확인,배송확인
J19_S027209,주문취소,주문취소
J19_S034860,서비스이용,불만제기
J19_S008490,환불요청,환불요청
J19_S015758,주문취소,주문취소
J17_S004339,서비스이용,서비스이용
J18_S014318,환불요청,환불요청
J18_S002280,배송확인,배송확인
J18_S022886,주문취소,환불요청
J19_S009269,주문취소,환불요청
J16_S000115,서비스이용,서비스이용
J19_S036271,배송확인,배송확인
J18_S017035,배송확인,배송확인
J17_S005150,서비스이용,서비스이용
J19_S014780,환불요청,환불요청
J19_S037929,환불요청,교환반품
J19_S025107,주문취소,환불요청
J18_S011047,환불요청,환불요청
J19_S008140,환불요청,환불요청
J19_S013322,주문취소,주문취소
J19_S034891,교환반품,교환반품
J17_S002177,배송확인,배송확인
J19_S005250,교환반품,교환반품
J16_S002687,서비스이용,서비스이용
J19_S026458,환불요청,환불요청
J16_S002087,서비스이용,서비스이용
J16_S005084,서비스이용,서비스이용
J17_S005911,서비스이용,서비스이용
J18_S015765,교환반품,교환반품
J19_S005456,구매진행,구매진행
J18_S020858,배송확인,배송확인
J19_S027272,구매진행,구매진행
J18_S021123,환불요청,교환반품
J19_S018923,주문취소,주문취소
J16_S000644,서비스이용,서비스이용
J19_S020732,환불요청,환불요청
J19_S017648,환불요청,환불요청
J19_S034454,주문취소,주문취소
J19_S004092,구매진행,주문취소
J16_S006699,서비스이용,서비스이용
J19_S021011,환불요청,환불요청
J16_S001991,서비스이용,서비스이용
J19_S024089,환불요청,환불요청
J19_S022321,구매진행,주문취소
J19_S027871,주문취소,환불요청
J18_S017122,배송확인,배송확인
J18_S012817,교환반품,교환반품
J16_S005829,서비스이용,서비스이용
J18_S002610,배송확인,배송확인
J19_S034145,서비스이용,불만제기
J18_S015223,주문취소,환불요청
J19_S010073,주문취소,환불요청
J17_S001087,서비스이용,서비스이용
J19_S034060,환불요청,환불요청
J17_S001289,서비스이용,서비스이용
